label_name,x,y
the shawshank redemption,12.519054,8.455801
the godfather,13.329248,9.323567
the dark knight,8.20818,6.5562825
the godfather: part ii,13.480328,9.24584
12 angry men,14.300109,8.654418
the lord of the rings: the return of the king,8.602505,7.0856476
schindler's list,10.618781,8.320089
the lord of the rings: the fellowship of the ring,8.697731,7.049765
pulp fiction,14.140994,9.753626
"the good, the bad and the ugly",12.221244,9.83348
the lord of the rings: the two towers,8.774503,7.157384
forrest gump,10.7650795,6.1981564
fight club,13.272154,7.4635587
inception,8.9466095,5.2691593
the empire strikes back,8.218066,5.844196
the matrix,9.142855,5.122032
goodfellas,13.713458,9.4013815
interstellar,8.622014,5.4724183
one flew over the cuckoo's nest,13.08997,7.6223445
se7en,14.3769245,8.28315
it's a wonderful life,10.710561,5.8346944
the silence of the lambs,14.437443,8.089926
seven samurai,9.393741,8.206756
saving private ryan,9.826864,8.688758
the green mile,12.624872,8.254494
city of god,13.026426,9.3545475
life is beautiful,10.661352,8.179956
terminator 2: judgment day,8.650708,5.5557413
star wars,8.198497,5.9392886
back to the future,8.978458,5.7615957
spirited away,9.557706,6.028663
the pianist,10.477684,8.62122
gladiator,9.193427,7.8445215
parasite,12.083154,7.1341906
psycho,14.669406,7.824573
grave of the fireflies,10.37649,8.493316
the lion king,9.704543,6.123344
harakiri,9.286722,8.264115
the departed,14.259115,9.226022
whiplash,12.989954,6.8254604
the prestige,14.032307,7.429755
american history x,12.957651,8.816833
leon: the professional,13.5507,8.876685
spider-man: across the spider-verse,8.638252,6.3577013
cinema paradiso,10.731967,6.3723536
casablanca,10.152282,8.383998
the intouchables,11.106283,5.93531
the usual suspects,14.741479,8.945623
alien,8.39512,5.1518755
modern times,11.721389,6.8052344
psycho,14.714391,7.766312
casablanca,10.154205,8.3667145
modern times,11.824719,6.8686347
city lights,11.7350025,6.421992
capharnaüm,11.485631,7.4393883
ayla: the daughter of war,10.403894,8.731577
vikram vedha,14.355841,8.906346
kimi no na wa.,10.354572,6.170344
dangal,10.133873,7.421982
spider-man: into the spider-verse,8.663085,6.462287
avengers: endgame,8.301238,6.308049
avengers: infinity war,8.302098,6.452779
coco,9.9447155,6.132111
django unchained,12.301678,9.779224
the dark knight rises,8.270185,6.5345526
3 idiots,11.331848,6.1013236
taare zameen par,11.174312,6.566602
wall·e,9.2891245,5.5017734
the lives of others,12.780178,7.7584376
oldeuboi,13.937442,7.9587255
memento,14.222096,7.8273306
mononoke-hime,9.049659,6.6710935
once upon a time in america,13.602151,9.554744
raiders of the lost ark,8.339223,7.20911
the shining,14.630972,7.4635434
apocalypse now,10.258967,9.101007
alien,8.490019,5.249864
anand,11.034212,5.859591
tengoku to jigoku,14.287679,8.891533
dr. strangelove or: how i learned to stop worrying and love the bomb,11.111313,8.761289
witness for the prosecution,14.858823,8.799244
paths of glory,9.993362,8.802085
rear window,14.992317,8.035625
sunset blvd.,13.299384,6.9963593
the great dictator,11.218551,8.376477
1917,9.84323,8.808514
tumbbad,14.601416,7.401695
andhadhun,14.762851,9.00906
drishyam,14.899893,8.565913
jagten,12.948838,8.051328
jodaeiye nader az simin,12.615293,7.9764905
incendies,14.164797,7.8810234
miracle in cell no.7,12.305776,8.263818
babam ve oglum,10.964886,7.5406494
inglourious basterds,11.479148,9.249555
eternal sunshine of the spotless mind,10.569491,6.3559704
amélie,10.627773,5.991741
snatch,13.982516,9.554744
requiem for a dream,13.734595,7.3947864
american beauty,13.223789,7.3513603
good will hunting,11.219007,6.2491226
bacheha-ye aseman,11.253088,7.615804
toy story,9.70403,5.8689337
braveheart,9.514623,8.118544
reservoir dogs,14.238604,9.663779
full metal jacket,10.252375,9.102744
idi i smotri,10.50233,8.936643
aliens,8.422113,5.4008346
amadeus,12.961873,6.758416
scarface,13.415314,9.692468
star wars: episode vi - return of the jedi,8.383729,6.141341
das boot,10.156691,9.121644
taxi driver,13.583578,7.4030905
the sting,14.248984,9.446763
a clockwork orange,13.088183,7.835251
2001: a space odyssey,8.78701,5.119096
per qualche dollaro in più,12.446535,9.888492
lawrence of arabia,9.321916,7.9400687
the apartment,12.045654,6.616626
north by northwest,15.129502,8.574589
vertigo,14.131036,7.395029
singin' in the rain,11.989205,6.4133472
ikiru,12.246499,6.8863683
ladri di biciclette,11.788314,7.22894
double indemnity,14.677389,9.161321
citizen kane,12.456475,6.836342
m - eine stadt sucht einen mörder,14.745755,8.056626
metropolis,9.436336,5.233679
the kid,11.792157,6.677823
chhichhore,11.106322,6.347515
uri: the surgical strike,9.886094,8.818377
k.g.f: chapter 1,12.914731,9.644642
green book,11.192971,5.822075
"three billboards outside ebbing, missouri",13.3026,8.545907
talvar,14.603939,8.545093
baahubali 2: the conclusion,8.905058,7.623215
klaus,10.130849,5.7411394
drishyam,14.97518,8.563616
queen,11.018536,6.2427907
mandariinid,10.228647,8.846501
bhaag milkha bhaag,10.168605,7.479144
gangs of wasseypur,13.292089,9.599342
udaan,11.105857,7.1706986
paan singh tomar,9.909641,7.774242
el secreto de sus ojos,14.623161,8.499118
warrior,10.2715435,7.5388193
shutter island,14.190504,7.668681
up,9.995595,5.858168
the wolf of wall street,13.482375,9.730725
chak de! india,10.110676,7.350509
there will be blood,12.677754,7.1314383
gravity,8.3674965,5.3353662
