label_name,x,y
the shawshank redemption,8362.2295,8528.826
the godfather,-8629.537,3072.7593
the dark knight,11486.593,-8107.929
the godfather: part ii,-8738.893,2988.9304
12 angry men,-12649.566,-2752.216
the lord of the rings: the return of the king,-886.0914,5240.1025
schindler's list,4068.635,9740.007
the lord of the rings: the fellowship of the ring,-871.39954,4679.0244
pulp fiction,-5718.867,132.82666
"the good, the bad and the ugly",-6921.714,7137.784
the lord of the rings: the two towers,-771.44104,5404.776
forrest gump,8221.076,1705.5834
fight club,-1084.6261,-5877.934
inception,2653.225,-7806.969
the empire strikes back,7547.6743,-11031.559
the matrix,2839.1777,-6748.6777
goodfellas,-7481.313,1673.489
interstellar,5538.2715,-7916.967
one flew over the cuckoo's nest,-474.24973,-4620.3184
se7en,-7090.3203,-3763.0396
it's a wonderful life,8651.339,45.63975
the silence of the lambs,-6782.9224,-4466.6025
seven samurai,-3070.7644,9486.604
saving private ryan,214.86089,10064.007
the green mile,8344.101,8406.855
city of god,-5157.82,2548.2239
life is beautiful,4267.568,9195.451
terminator 2: judgment day,6866.44,-8627.538
star wars,7508.1606,-10760.384
back to the future,7151.3833,-6646.198
spirited away,9733.07,-2562.2725
the pianist,4005.9294,10131.595
gladiator,-1860.8822,7877.928
parasite,1149.7136,-2711.1804
psycho,-6489.1772,-5831.869
grave of the fireflies,2702.4893,10049.538
the lion king,10957.164,-1553.505
harakiri,-3319.1255,9382.179
the departed,-8618.731,-1099.6683
whiplash,-1130.5819,1379.97
the prestige,-4012.921,-2097.794
american history x,-10513.959,3588.534
leon: the professional,-8900.416,646.92096
spider-man: across the spider-verse,10099.086,-5435.738
cinema paradiso,5724.153,-1126.6991
casablanca,1445.9153,7481.4956
the intouchables,7251.9946,1021.1514
the usual suspects,-8291.543,-2107.319
alien,4386.546,-9894.597
modern times,3255.4111,-3426.9106
psycho,-6318.7417,-5683.3535
casablanca,1439.3229,7467.3403
modern times,3153.394,-3523.9983
city lights,3951.2744,-2102.6438
capharnaüm,3055.9033,2557.6323
ayla: the daughter of war,1638.532,9793.152
vikram vedha,-9462.481,-1426.9537
kimi no na wa.,7055.0845,-3011.8232
dangal,4989.0864,5529.215
spider-man: into the spider-verse,10141.864,-5384.0537
avengers: endgame,9851.601,-7715.109
avengers: infinity war,10047.307,-7857.377
coco,11221.193,-867.061
django unchained,-6549.834,6431.4443
the dark knight rises,11039.855,-7981.5415
3 idiots,6544.56,2914.4148
taare zameen par,5065.459,2123.4387
wall·e,5061.5767,-6076.38
the lives of others,-745.08435,-2421.118
oldeuboi,-5786.967,-3454.6682
memento,-5267.7505,-4305.6587
mononoke-hime,1050.3947,4296.9775
once upon a time in america,-8040.434,1514.804
raiders of the lost ark,-3070.8845,4806.7007
the shining,-5436.68,-6720.7446
apocalypse now,1243.5737,12413.084
alien,4386.4478,-9894.525
anand,7073.123,501.12158
tengoku to jigoku,-10773.642,-1102.5525
dr. strangelove or: how i learned to stop worrying and love the bomb,-3094.05,13128.909
witness for the prosecution,-11517.437,-3126.3022
paths of glory,650.16895,10901.528
rear window,-7835.763,-6274.7295
sunset blvd.,-2483.8455,-909.6497
the great dictator,-3236.1606,13092.756
1917,-731.77875,11722.394
tumbbad,-3479.0579,-3552.5388
andhadhun,-8397.028,-2953.9502
drishyam,-9630.063,-3800.7551
jagten,-1578.1924,-2750.32
jodaeiye nader az simin,-3241.7659,-9144.918
incendies,-5113.4507,-2863.399
miracle in cell no.7,8570.191,7560.976
babam ve oglum,7490.0137,5348.2397
inglourious basterds,-5130.901,5760.138
eternal sunshine of the spotless mind,6415.2104,-2243.2437
amélie,7177.8965,-1117.8632
snatch,-6585.1714,8.355587
requiem for a dream,-2635.147,-4869.1045
american beauty,-1889.3405,-6977.781
good will hunting,6287.016,1788.9841
bacheha-ye aseman,3510.5642,3122.9856
toy story,9654.688,-1984.7474
braveheart,-1273.2457,8187.4287
reservoir dogs,-5940.876,523.05273
full metal jacket,831.0596,12126.16
idi i smotri,2644.5447,11717.121
aliens,5254.2188,-10244.895
amadeus,-1120.9336,1142.393
scarface,-6942.0933,2184.2043
star wars: episode vi - return of the jedi,7697.9233,-10373.252
das boot,261.89276,13302.674
taxi driver,-2177.4182,-6133.313
the sting,-7322.866,-454.68927
a clockwork orange,209.36221,-6026.61
2001: a space odyssey,4225.4775,-7928.3286
per qualche dollaro in più,-7240.183,7131.319
lawrence of arabia,-925.2639,7419.4966
the apartment,2631.097,-1022.26746
north by northwest,-9189.538,-6035.0527
vertigo,-4429.5464,-5087.548
singin' in the rain,4139.3623,-834.3208
ikiru,1629.4236,-21.91364
ladri di biciclette,2584.1174,1455.6418
double indemnity,-7103.9404,-1864.9279
citizen kane,581.19684,-585.3475
m - eine stadt sucht einen mörder,-8158.9756,-4838.0366
metropolis,3755.7446,-5408.5854
the kid,3852.5303,-2256.1992
